	title	is_fake	title_processed
2330	В Москве задержан сторонник Навального, 3 часа удерживавший клавиши Ctrl+Z на сервере ДЭГ	1	в москве задержан сторонник навального  часа удерживавший клавиши ctrlz на сервере дэг
2117	Продлен срок приема предзаказов на танцующего робота-паука	0	продлен срок приема предзаказов на танцующего роботапаука
3164	Дополнение к Prince of Persia выйдет в феврале	0	дополнение к prince of persia выйдет в феврале
2868	Защитника клуба НХЛ обвинили в браконьерстве	0	защитника клуба нхл обвинили в браконьерстве
2263	В регионах, где проживают малочисленные народы, втрое вырастет акциз на алкоголь	1	в регионах где проживают малочисленные народы втрое вырастет акциз на алкоголь
5186	Совет по правам человека предложил вернуть в Уголовный кодекс статью «Мужеложство»	1	совет по правам человека предложил вернуть в уголовный кодекс статью мужеложство
2801	Барселона поставила ультиматум основному вратарю	0	барселона поставила ультиматум основному вратарю
3875	Киево-Печерская лавра отмечает 950-летие	0	киевопечерская лавра отмечает летие
677	Пугачева показала тапки в ответ на критику ее передачи	0	пугачева показала тапки в ответ на критику ее передачи
3914	Паука Василия отправили на 5 лет в колонию за укус полицейского	1	паука василия отправили на  лет в колонию за укус полицейского
4322	В Канаде вывели берёзу-русофоба	1	в канаде вывели берёзурусофоба
2531	Джейсон Уэбли и Джим Авиньон встретят Новый год в Москве	0	джейсон уэбли и джим авиньон встретят новый год в москве
61	Ученые заглянули в прошлое марсианских океанов	0	ученые заглянули в прошлое марсианских океанов
2344	Дик Адвокат обрушился с критикой на тренера сборной России	0	дик адвокат обрушился с критикой на тренера сборной россии
3856	Стивен Содерберг пригласил в новый фильм порнозвезду	0	стивен содерберг пригласил в новый фильм порнозвезду
1253	Лидеры Зенита продлили контракты с клубом	0	лидеры зенита продлили контракты с клубом
4296	Аркадий Укупник обвинил Юлию Латынину в незаконном использовании своего фото	1	аркадий укупник обвинил юлию латынину в незаконном использовании своего фото
1703	Казахи отложили покупку банка Петрокоммерц	0	казахи отложили покупку банка петрокоммерц
2955	По поручению Путина ель в селе Красноярского края украсили новогодними игрушками	1	по поручению путина ель в селе красноярского края украсили новогодними игрушками
5213	Лавров: МИД не допустит, чтобы высланные из Чехии дипломаты спекулировали привезенными сапогами, хрусталем и мебелью	1	лавров мид не допустит чтобы высланные из чехии дипломаты спекулировали привезенными сапогами хрусталем и мебелью
5283	Департамент транспорта Москвы потратит 200 млрд рублей на ремонт воздушных ям	1	департамент транспорта москвы потратит  млрд рублей на ремонт воздушных ям
2004	Роскачество замочило и сожгло мужские носки от Pierre Cardin и Modis	0	роскачество замочило и сожгло мужские носки от pierre cardin и modis
4214	Билли Боб Торнтон снимет роуд-муви	0	билли боб торнтон снимет роудмуви
2809	В бюджет-2022 заложили полтриллиона рублей на возрождение колхозов	1	в бюджет заложили полтриллиона рублей на возрождение колхозов
3691	WADA запретило уроженцам Кавказа выступать от России на Олимпиаде в Токио	1	wada запретило уроженцам кавказа выступать от россии на олимпиаде в токио
3529	Макарова и Веснина выиграли теннисный турнир в Дубае	0	макарова и веснина выиграли теннисный турнир в дубае
733	В Барнауле произошла массовая драка из-за каминг-аута Деми Ловато	1	в барнауле произошла массовая драка изза камингаута деми ловато
3403	Минобороны РФ заинтересовалось французской экипировкой для пехотинцев будущего	0	минобороны рф заинтересовалось французской экипировкой для пехотинцев будущего
4362	Телеприставка Apple TV поступила в продажу в России	0	телеприставка apple tv поступила в продажу в россии
4884	Мэры Содома и Гоморры отказались поддержать Месяц Гордости	1	мэры содома и гоморры отказались поддержать месяц гордости
2543	Россиянам запретят публично критиковать качество дорог	1	россиянам запретят публично критиковать качество дорог
2886	Пойманная Путиным щука получит материальную компенсацию по решению ЕСПЧ	1	пойманная путиным щука получит материальную компенсацию по решению еспч
527	В 2007 году Руперт Мердок терял тысячу долларов каждые 16 секунд	0	в  году руперт мердок терял тысячу долларов каждые  секунд
2611	ФАС заподозрила таможенников в нарушении антимонопольных законов	0	фас заподозрила таможенников в нарушении антимонопольных законов
2364	Невакцинированным россиянам увеличат ставку НДФЛ	1	невакцинированным россиянам увеличат ставку ндфл
5074	Смена веса мужчинами отразилась на их сперме	0	смена веса мужчинами отразилась на их сперме
4540	Рукописный текст Люси в небесах с алмазами уйдет с молотка	0	рукописный текст люси в небесах с алмазами уйдет с молотка
2905	Печерский районный суд Киева запретил деятельность УЕФА на Украине	1	печерский районный суд киева запретил деятельность уефа на украине
803	Американская летная школа впервые выпустила летчиков-испытателей дронов	0	американская летная школа впервые выпустила летчиковиспытателей дронов
857	Мы так делали в Африке: Байден не исключил силовой операции по освобождению Навального	1	мы так делали в африке байден не исключил силовой операции по освобождению навального
1258	«Они сбивали опасные сосули»: суд оправдал фигурантов дела о стрельбе на свадьбе в Петербурге	1	они сбивали опасные сосули суд оправдал фигурантов дела о стрельбе на свадьбе в петербурге
4222	Time Warner уволит 75 процентов персонала New Line	0	time warner уволит  процентов персонала new line
2535	Microsoft подписала рекламный контракт с Viacom	0	microsoft подписала рекламный контракт с viacom
4487	Светлана Тихановская после обеда в Белом доме помыла посуду	1	светлана тихановская после обеда в белом доме помыла посуду
1295	Илон Маск презентовал не требующий энергии подземный эко-холодильник	1	илон маск презентовал не требующий энергии подземный экохолодильник
219	«Когда нас на автобусах возили к президенту, все «деды» заняли места у окна»: Анатолий Вассерман рассказал о случаях дедовщины в Госдуме	1	когда нас на автобусах возили к президенту все деды заняли места у окна анатолий вассерман рассказал о случаях дедовщины в госдуме
2552	Покупатель футболки сборной Украины останется под подпиской о невыезде	1	покупатель футболки сборной украины останется под подпиской о невыезде
1115	Режиссер фильма о войне в Донбассе совершил самоубийство	0	режиссер фильма о войне в донбассе совершил самоубийство
582	В Госдуме предложили перевести все регионы России на московское время	1	в госдуме предложили перевести все регионы россии на московское время
2913	Новую часть Ratchet & Clank выпустят на Blu-ray	0	новую часть ratchet  clank выпустят на bluray
43	На онлайн-свадьбах в 2020 году в России зафиксировано 518 случаев драк	1	на онлайнсвадьбах в  году в россии зафиксировано  случаев драк
1344	«У нас будет свой Талибан, православный»: Герман Стерлигов отреагировал на захват Афганистана террористами	1	у нас будет свой талибан православный герман стерлигов отреагировал на захват афганистана террористами
2181	Суд отклонил иск Навального к оператору системы «Платон»	0	суд отклонил иск навального к оператору системы платон
1379	Роскомнадзор замедлил PornHub за отказ продвигать российский контент	1	роскомнадзор замедлил pornhub за отказ продвигать российский контент
5038	Оззи боится, что больше не сможет выступать	0	оззи боится что больше не сможет выступать
3926	Из-за сноса Останкинской телебашни движение по улице Академика Королёва закроют на месяц	1	изза сноса останкинской телебашни движение по улице академика королёва закроют на месяц
1071	Первые заводные ноутбуки отправились к заказчикам	0	первые заводные ноутбуки отправились к заказчикам
718	Nintendo анонсировала новую модель портативной консоли DS	0	nintendo анонсировала новую модель портативной консоли ds
4173	Минфин оценил сверхдоходы бюджета России в 2010 году	0	минфин оценил сверхдоходы бюджета россии в  году
5598	Давыденко обыграл Южного в Дохе	0	давыденко обыграл южного в дохе
670	ЕС потребовал от РПЦ отказаться от использования восковых свечей для борьбы с глобальным потеплением	1	ес потребовал от рпц отказаться от использования восковых свечей для борьбы с глобальным потеплением
3592	В Швеции изъяли ребёнка из семьи за просмотр мультфильма «Маша и Медведь»	1	в швеции изъяли ребёнка из семьи за просмотр мультфильма маша и медведь
3848	Латвия признала ветеранов Waffen SS борцами с нацизмом	1	латвия признала ветеранов waffen ss борцами с нацизмом
5521	Владимир Мединский представил монографию «Александр Македонский-Рюрик: основатель государства российского»	1	владимир мединский представил монографию александр македонскийрюрик основатель государства российского
2662	Появилось видео из раздевалки «Ростова» после победы над «Андерлехтом»	0	появилось видео из раздевалки ростова после победы над андерлехтом
897	Звезда НБА выиграл в казино 700 тысяч долларов	0	звезда нба выиграл в казино  тысяч долларов
95	Взрыв батареи мобильника убил китайца	0	взрыв батареи мобильника убил китайца
2022	Заводные ноутбуки получили премию за дизайн	0	заводные ноутбуки получили премию за дизайн
4657	«Трансформеров 4» снимут на новые камеры IMAX	0	трансформеров  снимут на новые камеры imax
842	Медведев призвал ввести ограничения по росту для чиновников и простых россиян	1	медведев призвал ввести ограничения по росту для чиновников и простых россиян
1507	«К 2030 году ни в одном доме в Беларуси не должна звучать русская речь»: Wikileaks обнародовал секретные протоколы белорусской оппозиции	1	к  году ни в одном доме в беларуси не должна звучать русская речь wikileaks обнародовал секретные протоколы белорусской оппозиции
5004	ЮКОСу запретили распоряжаться имуществом	0	юкосу запретили распоряжаться имуществом
4773	В России введут государственную монополию на гороскопы	1	в россии введут государственную монополию на гороскопы
4990	Семнадцатилетняя прыгунья с трамплина умерла в гостинице	0	семнадцатилетняя прыгунья с трамплина умерла в гостинице
1862	Опубликован рейтинг самых богатых людей Украины	0	опубликован рейтинг самых богатых людей украины
1323	Анастасия Мыскина уступила Серене Уильямс в финале теннисного турнира в Лейпциге	0	анастасия мыскина уступила серене уильямс в финале теннисного турнира в лейпциге
4382	Долг китайских компаний измерили в ВВП Ирландии	0	долг китайских компаний измерили в ввп ирландии
322	Пенсионный фонд запросил у правительства 500 млрд рублей из-за падения цены биткоина	1	пенсионный фонд запросил у правительства  млрд рублей изза падения цены биткоина
4172	«У русских был целый ГУЛАГ, а у нас всего лишь полмиллиарда долларов»: инженер NASA сравнил космические программы СССР и США	1	у русских был целый гулаг а у нас всего лишь полмиллиарда долларов инженер nasa сравнил космические программы ссср и сша
2954	«Вдвое дешевле плацкарта»: РЖД начнёт продавать билеты зацеперам	1	вдвое дешевле плацкарта ржд начнёт продавать билеты зацеперам
2903	Габриэль Гарсиа Маркес простил Голливуд ради денег	0	габриэль гарсиа маркес простил голливуд ради денег
334	Дед Мороз проведёт прямую линию на «Первом канале» 30 декабря	1	дед мороз проведёт прямую линию на первом канале  декабря
2845	Французские коммунисты требуют вынести тело Наполеона из Дома инвалидов	1	французские коммунисты требуют вынести тело наполеона из дома инвалидов
332	Живите в лесу: Эрдоган распорядился за неделю выселить из турецких городов всех противников вакцинации	1	живите в лесу эрдоган распорядился за неделю выселить из турецких городов всех противников вакцинации
833	В Киеве прошёл многотысячный митинг против «Северного потока-2» и Крымского моста	1	в киеве прошёл многотысячный митинг против северного потока и крымского моста
3664	Поэтесса Юнна Мориц представила набор слов для Послания Президента Федеральному Собранию	1	поэтесса юнна мориц представила набор слов для послания президента федеральному собранию
3765	РТС и ММВБ обновили максимумы 2010 года	0	ртс и ммвб обновили максимумы  года
2422	СК возбудил дело после исчезновения полуострова на Земле Франц-Иосифа	1	ск возбудил дело после исчезновения полуострова на земле франциосифа
3795	Алексей Миллер и Валентина Матвиенко подарят Зениту новый стадион	0	алексей миллер и валентина матвиенко подарят зениту новый стадион
1937	Чиновникам разрешат сбивать пешеходов при «чрезвычайных обстоятельствах»	1	чиновникам разрешат сбивать пешеходов при чрезвычайных обстоятельствах
731	Японцы посчитали число Пи с рекордной точностью	0	японцы посчитали число пи с рекордной точностью
291	Несанкционированный митинг в поддержку арестованного губернатора Белозерцева проходит в Пензе	1	несанкционированный митинг в поддержку арестованного губернатора белозерцева проходит в пензе
184	Автор песни American Pie арестован за домашнее насилие	0	автор песни american pie арестован за домашнее насилие
1820	Хусейн Амини доработает сценарий Белоснежки и егеря	0	хусейн амини доработает сценарий белоснежки и егеря
2053	Вимм-Билль-Данн купил Пастушка и 33 коровы	0	виммбилльданн купил пастушка и  коровы
3615	Французские табачники забастовали от возмущения	0	французские табачники забастовали от возмущения
533	Европарламентарии посоветовали Дональду Туску сменить имя	1	европарламентарии посоветовали дональду туску сменить имя
3038	Сериал «Призрак Оперы» снимет режиссер «Амели»	0	сериал призрак оперы снимет режиссер амели
2698	В геленджикском дворце ищут заблудившихся офицеров с «ядерным чемоданчиком»	1	в геленджикском дворце ищут заблудившихся офицеров с ядерным чемоданчиком
3563	На разработчика процессоров MIPS нашелся покупатель	0	на разработчика процессоров mips нашелся покупатель
4861	Лукашенко пригрозил отхлестать ремнём президента НОК Белоруссии, если страна не привезёт медали из Токио	1	лукашенко пригрозил отхлестать ремнём президента нок белоруссии если страна не привезёт медали из токио
657	Белорусский ОМОН принял на вооружение новейшие ЗРК Бук-М2	1	белорусский омон принял на вооружение новейшие зрк букм
2306	Арнольд Шварценеггер готов стать Терминатором в четвертый раз	0	арнольд шварценеггер готов стать терминатором в четвертый раз
2303	Швеция вышла на первое место в мире по использованию IT	0	швеция вышла на первое место в мире по использованию it
2287	НАСА показало высококачественный снимок высадки миссии Apollo 12 на Луну	0	наса показало высококачественный снимок высадки миссии apollo  на луну
2389	«Включим программу Киселёва и покажем телевизорам фигу»: Леонид Волков анонсировал новую акцию протеста	1	включим программу киселёва и покажем телевизорам фигу леонид волков анонсировал новую акцию протеста
898	Криштиану Роналду опроверг слухи о переходе в Реал	0	криштиану роналду опроверг слухи о переходе в реал
428	Отечественные учёные клонируют Гитлера, чтобы создать противоядие против нацизма	1	отечественные учёные клонируют гитлера чтобы создать противоядие против нацизма
3844	Началась приватизация Объединенной зерновой компании	0	началась приватизация объединенной зерновой компании
3787	КПРФ проведёт внеочередной съезд с осуждением культа личности Рашкина	1	кпрф проведёт внеочередной съезд с осуждением культа личности рашкина
1702	После победы Анатолия Вассермана на выборах средний IQ депутатов повысился на 8 пунктов	1	после победы анатолия вассермана на выборах средний iq депутатов повысился на  пунктов
1941	Старейшему члену Либертарианской партии России исполнилось 18 лет	1	старейшему члену либертарианской партии россии исполнилось  лет
1222	Штрафы за Google и Apple заплатят россияне	1	штрафы за google и apple заплатят россияне
1410	Специалисты из Палермо помогут Москве бороться с последствиями снегопадов	1	специалисты из палермо помогут москве бороться с последствиями снегопадов
4952	Трамп приготовил уловку для Мексики	0	трамп приготовил уловку для мексики
2981	Еврокомиссия предложила создать нового регулятора финансовой системы ЕС	0	еврокомиссия предложила создать нового регулятора финансовой системы ес
3000	Боно ругался, но никого не оскорблял	0	боно ругался но никого не оскорблял
3113	Совет по правам человека призвал убрать иностранное финансирование из условий присвоения статуса иноагента	1	совет по правам человека призвал убрать иностранное финансирование из условий присвоения статуса иноагента
1780	В 2007 году Boeing и Airbus продавали семь самолетов в сутки на двоих	0	в  году boeing и airbus продавали семь самолетов в сутки на двоих
4545	ЕС допустил США к банковским данным европейцев	0	ес допустил сша к банковским данным европейцев
2603	Лоси сорвали лыжную гонку в Норвегии	0	лоси сорвали лыжную гонку в норвегии
3208	Участниц группы Pussy Riot проверят на причастность к убийству президента Гаити	1	участниц группы pussy riot проверят на причастность к убийству президента гаити
4847	Футболист обыграл всю команду соперника и забил гол	0	футболист обыграл всю команду соперника и забил гол
1737	Глава района подарил многодетной семье новый кальян	1	глава района подарил многодетной семье новый кальян
5197	На ОИ-2016 квалифицировалась выступавшая за СССР гимнастка	0	на ои квалифицировалась выступавшая за ссср гимнастка
5441	Ватикан намерен в 2030 году аннулировать для всех христиан устные молитвы в пользу блокчейна	1	ватикан намерен в  году аннулировать для всех христиан устные молитвы в пользу блокчейна
2633	Чемпион мира по тайскому боксу стал боевиком «Исламского государства»	0	чемпион мира по тайскому боксу стал боевиком исламского государства
3841	Итоги года. Регионы	1	итоги года регионы
1419	«Зачем народу столько сайтов?»: Минцифры России опубликовало план по сокращению интернет-ресурсов до четырёх	1	зачем народу столько сайтов минцифры россии опубликовало план по сокращению интернетресурсов до четырёх
4160	На подаренной Алексею Навальному валентинке нашли следы Новичка	1	на подаренной алексею навальному валентинке нашли следы новичка
4712	Учащихся спортивных классов освободят от сдачи ЕГЭ и изучения иностранных языков	1	учащихся спортивных классов освободят от сдачи егэ и изучения иностранных языков
4831	Вуди Аллен: Террористы добились только обратного результата	0	вуди аллен террористы добились только обратного результата
2503	В Госдуме призвали ограничить представительство женщин в парламенте 20 %	1	в госдуме призвали ограничить представительство женщин в парламенте  
1550	Болт включен в состав сборной Ямайки на московский ЧМ по легкой атлетике	0	болт включен в состав сборной ямайки на московский чм по легкой атлетике
1126	Nokia решила засудить Apple	0	nokia решила засудить apple
5439	В Белоруссии объявили о начале всеобщей коллективизации	1	в белоруссии объявили о начале всеобщей коллективизации
4652	Пятый экземпляр Белого альбома The Beatles выставлен на аукцион	0	пятый экземпляр белого альбома the beatles выставлен на аукцион
3857	По случаю приезда Папы Римского в Москву РПЦ перенесла Рождество на 26 декабря	1	по случаю приезда папы римского в москву рпц перенесла рождество на  декабря
70	Росприроднадзор потребовал отозвать лицензии у британских нефтяников	0	росприроднадзор потребовал отозвать лицензии у британских нефтяников
1612	Россельхознадзор разрешит импорт черной икры из Ирана	0	россельхознадзор разрешит импорт черной икры из ирана
4030	В сети появился трейлер документалки о Немцове	0	в сети появился трейлер документалки о немцове
2746	ВМС Индии вооружились вторым фрегатом-невидимкой	0	вмс индии вооружились вторым фрегатомневидимкой
3532	В «Анжи» начался бунт	0	в анжи начался бунт
1412	Lollipop Chainsaw стала самой успешной игрой Grasshopper Manufacture	0	lollipop chainsaw стала самой успешной игрой grasshopper manufacture
831	Белоруссия переоформит своё воздушное пространство на Виргинские острова	1	белоруссия переоформит своё воздушное пространство на виргинские острова
4610	Инспекторы ГИБДД смогут вакцинировать граждан	1	инспекторы гибдд смогут вакцинировать граждан
1545	Захарова: «При открытии Шенгенской визы посольства просили россиян переводить деньги сторонникам Алексея Навального»	1	захарова при открытии шенгенской визы посольства просили россиян переводить деньги сторонникам алексея навального
4762	Пензенских школьников заставили отозвать клятву на верность арестованному экс-губернатору, которую они давали в 2019 году	1	пензенских школьников заставили отозвать клятву на верность арестованному эксгубернатору которую они давали в  году
238	Индекс РТС упал ниже 1500 пунктов	0	индекс ртс упал ниже  пунктов
3606	ФСИН, суды и МВД установили план по числу заключенных для трудовых лагерей на 2021-2022 годы	1	фсин суды и мвд установили план по числу заключенных для трудовых лагерей на  годы
5009	Склонность к мошенничеству в России объяснили специфической ментальностью	0	склонность к мошенничеству в россии объяснили специфической ментальностью
1321	Для прохождения реабилитации Конор Макгрегор отправится в Дагестан	1	для прохождения реабилитации конор макгрегор отправится в дагестан
4960	Фонд Билла Гейтса выделил полмиллиарда долларов на банковскую систему для бедных	0	фонд билла гейтса выделил полмиллиарда долларов на банковскую систему для бедных
4439	«На создание Dogecoin меня вдохновил советский пёс Мухтар»: сенсационное интервью разработчика криптовалюты	1	на создание dogecoin меня вдохновил советский пёс мухтар сенсационное интервью разработчика криптовалюты
3176	Индекс ММВБ открылся трехпроцентным падением	0	индекс ммвб открылся трехпроцентным падением
1001	В Совфеде предложили законодательно закрепить термин «Замкадье»	1	в совфеде предложили законодательно закрепить термин замкадье
1732	В Госдуме предложили сделать платным приём жалоб от населения	1	в госдуме предложили сделать платным приём жалоб от населения
4507	Пытают пережаренным шашлыком: Саакашвили пожаловался на унизительные условия содержания в грузинской тюрьме	1	пытают пережаренным шашлыком саакашвили пожаловался на унизительные условия содержания в грузинской тюрьме
